id;id_video;content;norm_bitrate;complexity;complexity_class;resolution;caching;bitrate_video;framerate_video;dropped_video;bitrate_audio;dropped_audio;begin_time;screen_size;id_user;age_user;sex_user;mos
96;1;News;5,21;5,21;0;1080;1000;2618;29;5;42;3;596;1920x1200;1;25;men;3
114;1;News;5,21;5,21;0;480;1000;891,33;30;0;81;3;1288;1920x1200;1;25;men;3
203;1;News;5,21;5,21;0;360;1000;700,89;30;0;56;2;559;1920x1200;1;25;men;3
247;1;News;5,21;5,21;0;144;100;82;1;18;22;0;756;1920x1200;1;25;men;1
254;1;News;5,21;5,21;0;360;800;836,22;30;0;58;2;506;1920x1200;1;25;men;3
262;1;News;5,21;5,21;0;360;400;1026;29;0;42;2;1279;1920x1200;1;25;men;4
341;1;News;5,21;5,21;0;144;400;66,44;10;0;21;0;763;1920x1200;1;25;men;1
385;1;News;5,21;5,21;0;240;1000;387,44;30;0;38;2;502;1920x1200;1;25;men;2
394;1;News;5,21;5,21;0;144;200;78,78;10;1;22;0;546;1920x1200;1;25;men;1
411;1;News;5,21;5,21;0;240;400;156,33;30;0;38;2;576;1920x1200;1;25;men;2
416;1;News;5,21;5,21;0;480;1000;1302,44;30;0;61;3;599;1920x1200;1;25;men;4
460;1;News;5,21;5,21;0;360;400;650,33;30;0;59;2;1190;1920x1200;1;25;men;4
468;1;News;5,21;5,21;0;720;400;1077,89;30;0;44;1;1098;1920x1200;1;25;men;5
30;2;News;4,74;4,91;0;240;200;306,67;30;0;38;2;1710;1366 x 768;2;21;men;2
60;2;News;4,74;4,91;0;360;1000;1005,33;30;0;83;3;1497;1366 x 768;2;21;men;3
75;2;News;4,74;4,91;0;1080;1000;3210,78;30;0;44;1;716;1366 x 768;2;21;men;5
89;2;News;4,74;4,91;0;720;1000;2874,67;30;0;44;1;447;1366 x 768;2;21;men;5
91;2;News;4,74;4,91;0;360;400;443,33;30;0;62;2;538;1366 x 768;2;21;men;4
92;2;News;4,74;4,91;0;720;1000;1586;30;0;43;1;602;1366 x 768;2;21;men;4
163;2;News;4,74;4,91;0;240;400;363,44;30;0;38;2;520;1366 x 768;2;21;men;3
216;2;News;4,74;4,91;0;720;400;2719,44;30;0;44;1;433;1366 x 768;2;21;men;5
227;2;News;4,74;4,91;0;144;200;102,33;10;0;22;0;758;1366 x 768;3;25;men;1
260;2;News;4,74;4,91;0;720;400;425,89;29;0;42;1;593;1366 x 768;3;25;men;4
268;2;News;4,74;4,91;0;480;400;645;30;0;59;2;994;1366 x 768;3;25;men;3
313;2;News;4,74;4,91;0;1080;1000;2638,56;30;0;44;1;1286;1366 x 768;3;25;men;5
